tick,aep_active,aep_hyperactive,alpha_protein_gut,tau_protein_gut,alpha_cleaved_gut,tau_cleaved_gut,alpha_oligomer_gut,tau_oligomer_gut,barrier_impermeability,microbiota_good_bacteria_class,microbiota_pathogenic_bacteria_class,resting_microglia,active_microglia,healthy_neuron,damaged_neuron,dead_neuron,cleaved_alpha_syn_brain,alpha_syn_oligomer_brain,cleaved_tau_brain,tau_oligomer_brain,cytokine_pro_inflammatory,cytokine_non_inflammatory
67,25,25,229,239,142,122,0,0,29,31372,8661,50,0,300,0,0,0,0,0,0,0,0
68,25,25,229,238,142,124,0,0,29,29872,8714,50,0,300,0,0,0,0,0,0,0,0
69,25,25,226,237,148,126,0,0,30,26288,9708,50,0,300,0,0,0,0,0,0,0,0
70,25,25,226,236,148,128,0,0,30,21368,11144,50,0,300,0,0,0,0,0,0,0,0
71,24,26,225,234,150,132,0,0,29,16954,12835,50,0,300,0,0,0,0,0,0,0,0
72,24,26,224,232,152,136,0,0,29,18660,12178,50,0,300,0,0,0,0,0,0,0,0
73,24,26,222,232,156,136,0,0,29,20887,11446,50,0,300,0,0,0,0,0,0,0,0
74,24,26,222,231,156,138,0,0,29,22192,10925,50,0,300,0,0,0,0,0,0,0,0
75,24,26,222,231,156,138,0,0,30,24215,10478,50,0,300,0,0,0,0,0,0,0,0
76,24,26,222,231,156,138,0,0,30,20373,11913,50,0,300,0,0,0,0,0,0,0,0
77,24,26,219,230,162,140,0,0,30,17114,13114,50,0,300,0,0,0,0,0,0,0,0
78,24,26,217,230,166,140,0,0,30,14932,14208,50,0,300,0,0,0,0,0,0,0,0
79,23,27,217,227,166,146,0,0,29,17378,12927,50,0,300,0,0,0,0,0,0,0,0
80,23,27,216,226,168,148,0,0,29,21361,12109,50,0,300,0,0,0,0,0,0,0,0
81,23,27,216,226,168,148,0,0,30,23747,11290,50,0,300,0,0,0,0,0,0,0,0
82,23,27,216,224,168,148,0,1,30,19815,12802,50,0,300,0,0,0,0,0,0,0,0
83,23,27,214,221,172,154,0,1,30,17223,14464,50,0,300,0,0,0,0,0,0,0,0
84,23,27,214,221,172,154,0,1,30,15132,16084,50,0,300,0,0,0,0,0,0,0,0
85,21,29,212,220,176,156,0,1,28,13474,17315,50,0,300,0,0,0,0,0,0,0,0
86,21,29,210,219,180,154,0,2,28,18213,15646,50,0,300,0,0,0,0,0,0,0,0
87,19,31,208,218,180,156,1,2,26,21376,14563,50,0,300,0,0,0,0,0,0,0,0
88,19,31,207,215,182,162,1,2,26,23577,14387,50,0,300,0,0,0,0,0,0,0,0
89,19,31,205,212,186,168,1,2,27,25544,13644,50,0,300,0,0,0,0,0,0,0,0
90,19,31,204,212,188,168,1,2,27,27926,12251,50,0,300,0,0,0,0,0,0,0,0
91,19,31,204,211,188,170,1,2,27,29298,12466,50,0,300,0,0,0,0,0,0,0,0
92,19,31,204,209,188,174,1,2,27,30570,11112,50,0,300,0,0,0,0,0,0,0,0
93,19,31,204,208,188,176,1,2,27,29263,10797,50,0,300,0,0,0,0,0,0,0,0
94,19,31,203,207,190,178,1,2,27,30518,10041,50,0,300,0,0,0,0,0,0,0,0
95,19,31,203,207,190,178,1,2,27,29605,9690,50,0,300,0,0,0,0,0,0,0,0
96,19,31,201,207,194,178,1,2,27,31859,9316,50,0,300,0,0,0,0,0,0,0,0
97,19,31,201,207,194,178,1,2,28,31718,9412,50,0,300,0,0,0,0,0,0,0,0
98,19,31,197,205,202,182,1,2,28,32090,9362,50,0,300,0,0,0,0,0,0,0,0
99,19,31,194,204,208,184,1,2,28,29878,9468,50,0,300,0,0,0,0,0,0,0,0
100,19,31,194,204,208,184,1,2,28,31519,9539,50,0,300,0,0,0,0,0,0,0,0
101,19,31,194,203,208,186,1,2,29,30605,9454,50,0,300,0,0,0,0,0,0,0,0
102,19,31,193,200,210,192,1,2,29,28947,9787,50,0,300,0,0,0,0,0,0,0,0
103,19,31,193,200,210,192,1,2,29,30346,9677,50,0,300,0,0,0,0,0,0,0,0
104,19,31,193,199,210,194,1,2,29,29205,8952,50,0,300,0,0,0,0,0,0,0,0
105,19,31,192,197,212,198,1,2,29,30572,9013,50,0,300,0,0,0,0,0,0,0,0
106,19,31,189,197,218,198,1,2,29,30533,8765,50,0,300,0,0,0,0,0,0,0,0
107,19,31,189,196,218,200,1,2,29,28780,8610,50,0,300,0,0,0,0,0,0,0,0
108,19,31,187,195,222,202,1,2,29,30985,8160,50,0,300,0,0,0,0,0,0,0,0
109,19,31,187,195,222,202,1,2,29,31931,8757,50,0,300,0,0,0,0,0,0,0,0
110,19,31,185,194,226,204,1,2,29,33459,8578,50,0,300,0,0,0,0,0,0,0,0
